station_id,year,window_start,window_end,dt_minutes,tmax,tmin,hours_above_ref,ref_temp,wb_p99,wb_p996,wb_max,wb_mean,hours_wb_above_ref,n_records_total,n_records_with_temp,nan_temp_count,n_unique_timestamps,duplicate_count,missing_pct,interval_change_flag,nan_count_tmpf,field_missing_pct_tmpf,nan_count_dwpf,field_missing_pct_dwpf,nan_count_relh,field_missing_pct_relh,nan_count_wetbulb_f,field_missing_pct_wetbulb_f,wetbulb_availability_pct,coverage_pct,partial_coverage_flag
KORD,2022,2022-01-01,2022-12-31,60.0,98.0,-8.0,1299.0,75.0,75.37,77.19,80.17,44.63,103.0,8750,8750,0,8750,0,0.001142,False,0,0.0,0,0.0,0,0.0,0,0.0,100.0,1.0,False
KORD,2023,2023-01-01,2023-12-31,60.0,100.0,0.0,1205.0,75.0,76.06,79.76,84.47,47.05,126.0,8736,8736,0,8736,0,0.00274,False,0,0.0,0,0.0,0,0.0,0,0.0,100.0,1.0,False
