station_id,year,window_start,window_end,dt_minutes,tmax,tmin,hours_above_ref,ref_temp,n_records_total,n_records_with_temp,nan_temp_count,n_unique_timestamps,duplicate_count,missing_pct,interval_change_flag,coverage_pct,partial_coverage_flag
csv,2022,2022-03-01,2022-12-31,60.0,104.68,25.71,2368.0,75.0,7344,7329,15,7344,0,0.0,False,0.838356,True
csv,2023,2023-01-01,2023-10-31,60.0,105.89,23.87,3148.0,75.0,7296,7281,15,7296,0,0.0,False,0.832877,True
